Date/time,Ref,S3,S4
04.06.2021 01:00,9.8,7.06,7.25
04.06.2021 02:00,10.1,7.05,7.34
04.06.2021 03:00,10.6,7.32,8.63
04.06.2021 04:00,11.2,7.86,9.28
04.06.2021 05:00,11.7,9.72,9.92
04.06.2021 06:00,11.8,9.34,10.48
04.06.2021 07:00,11.5,8.14,8.75
04.06.2021 08:00,11,6.85,8.17
04.06.2021 09:00,10.4,6.92,6.89
04.06.2021 10:00,6.2,4.69,5.4
04.06.2021 11:00,5.5,3.64,4.22
04.06.2021 12:00,4.7,3.7,3.83
04.06.2021 13:00,4.7,3.92,3.85
04.06.2021 14:00,4.7,3.36,3.06
04.06.2021 15:00,4.6,3.46,3.82
04.06.2021 16:00,5.1,3.94,4.04
04.06.2021 17:00,5.4,3.92,4.15
04.06.2021 18:00,6.5,5.28,5.06
04.06.2021 19:00,6.6,4.9,5.05
04.06.2021 20:00,6.4,4.67,5.43
04.06.2021 21:00,6.8,5.42,5.13
04.06.2021 22:00,8.9,6.79,6.96
04.06.2021 23:00,10.2,7.61,7.31
05.06.2021 00:00,3.9,3.18,3.48
05.06.2021 01:00,2.9,3.17,3.74
05.06.2021 02:00,3,3.37,3.47
05.06.2021 03:00,3.4,4.29,4.02
05.06.2021 04:00,3.7,3.35,3.32
05.06.2021 05:00,4.4,4.82,5.05
05.06.2021 06:00,4.3,4.74,4.7
05.06.2021 07:00,4.1,3.78,4.49
05.06.2021 08:00,4.4,4.68,4.72
05.06.2021 09:00,3.6,3.23,3.72
05.06.2021 10:00,2.6,3.19,2.72
05.06.2021 11:00,3.2,3.12,3.21
05.06.2021 12:00,2.3,2.53,2.83
05.06.2021 13:00,1.6,2.73,2.6
05.06.2021 14:00,1.2,2.89,2.63
05.06.2021 15:00,1.8,2.78,3.29
05.06.2021 16:00,1.8,2.83,2.97
05.06.2021 17:00,1.8,2.83,2.97
05.06.2021 18:00,2,2.68,2.54
05.06.2021 19:00,2.5,2.7,3.36
05.06.2021 20:00,3.1,3.54,3.65
05.06.2021 21:00,3.3,3.35,3.75
05.06.2021 22:00,4.1,4.28,3.93
05.06.2021 23:00,4.5,4.79,3.92
06.06.2021 00:00,3.8,3.54,4.11
06.06.2021 01:00,3.2,2.51,2.97
06.06.2021 02:00,3.4,3.72,3.44
06.06.2021 03:00,3.4,3.55,3.54
06.06.2021 04:00,2.2,3.05,3.39
06.06.2021 05:00,2,3.47,3.44
06.06.2021 06:00,2.7,3.94,4.44
06.06.2021 07:00,3.5,4.7,4.59
06.06.2021 08:00,3.5,3.95,4.41
06.06.2021 09:00,3.3,4.05,4.65
06.06.2021 10:00,3,3.51,3.72
06.06.2021 11:00,2.7,2.86,3.29
06.06.2021 12:00,2.9,3.02,3.08
06.06.2021 13:00,3.6,3.2,3.95
06.06.2021 14:00,2.6,2.8,2.87
06.06.2021 15:00,1.8,2.68,2.99
06.06.2021 16:00,1.5,2.43,2.54
06.06.2021 17:00,2,2.8,3.27
06.06.2021 18:00,3.1,3.46,4.55
06.06.2021 19:00,3.9,4.94,4.37
06.06.2021 20:00,3.5,4,4.31
06.06.2021 21:00,3.3,3.85,4.68
06.06.2021 22:00,3.3,4.08,4.77
06.06.2021 23:00,4.2,5.23,5.43
07.06.2021 00:00,4.3,4.38,4.87
07.06.2021 01:00,5.2,6.22,6.75
07.06.2021 02:00,7.5,9.09,9.71
07.06.2021 03:00,8.4,9.14,10.73
07.06.2021 04:00,10.2,12.2,12.88
07.06.2021 05:00,11.1,11.97,13.9
07.06.2021 06:00,12.1,13.03,15.47
07.06.2021 07:00,13.3,14.71,16.32
07.06.2021 08:00,14.1,15.5,16.15
07.06.2021 09:00,12.5,13.96,15.96
07.06.2021 10:00,5.4,6.5,7.09
07.06.2021 11:00,6.6,6.9,8.11
07.06.2021 12:00,5,5.35,6.01
07.06.2021 13:00,4.1,4.47,4.79
07.06.2021 14:00,3.9,3.98,4.18
07.06.2021 15:00,3.1,2.84,3
07.06.2021 16:00,4.7,5.22,5.29
07.06.2021 17:00,5.9,6.86,6.87
07.06.2021 18:00,3.9,4.49,3.68
07.06.2021 19:00,2.6,3.32,3.76
07.06.2021 20:00,3.2,3.95,4.07
07.06.2021 21:00,3,4.01,3.93
07.06.2021 22:00,3.6,3.75,4.67
07.06.2021 23:00,4,4.83,4.78
08.06.2021 00:00,5,5.31,5.7
08.06.2021 01:00,5.3,5.92,7.16
08.06.2021 02:00,4.4,5.53,6.23
08.06.2021 03:00,3.2,3.98,4.63
08.06.2021 04:00,3.1,3.52,4.99